aX,aY,aZ,gX,gY,gZ,sN
-9.207,-0.450,-7.945,-0.437,-2.060,-1.114,3
-10.064,-1.483,-3.264,-0.107,-1.463,-0.603,4
-12.434,-0.515,2.629,1.116,-5.684,0.171,1
-11.225,0.591,-4.644,0.258,-5.845,-1.337,2
-10.733,-0.790,-6.602,0.061,-3.613,-1.080,3
-11.979,-1.809,-0.784,0.115,-3.812,-0.872,4
-11.439,-0.371,3.163,2.045,-7.290,0.816,1
-9.969,0.649,-3.701,0.752,-6.730,-0.539,2
-8.237,-0.950,-6.670,0.439,-5.413,-0.882,3
-8.315,-1.638,-2.862,0.256,-4.857,-0.905,4
-8.400,-0.235,1.510,2.223,-6.571,0.893,1
-9.161,0.453,-2.040,0.679,-5.323,-0.161,2
-9.446,-0.995,-4.802,0.407,-4.481,-0.758,3
-10.101,-1.838,-0.365,0.231,-3.898,-0.771,4
-8.708,0.767,5.630,1.688,-5.284,0.885,1
-10.783,0.680,0.898,0.545,-5.230,0.185,2
-10.949,-1.320,-2.126,0.538,-5.318,-0.713,3
-10.556,-2.176,2.642,0.465,-5.351,-0.871,4
-7.314,1.239,6.935,1.480,-5.479,0.982,1
-10.036,0.334,2.199,0.206,-5.612,0.171,2
-10.412,-1.821,-0.379,0.510,-6.715,-0.970,3
-9.875,-2.552,3.915,0.745,-6.646,-0.859,4
-4.198,1.702,7.258,1.314,-5.190,0.840,1
-8.957,0.074,4.363,0.113,-5.840,0.152,2
-9.066,-2.265,1.209,0.610,-7.309,-1.010,3
-7.790,-2.610,5.160,0.728,-6.736,-0.653,4
-2.585,1.961,8.309,1.532,-5.072,0.774,1
-7.721,0.511,5.897,0.197,-5.939,0.310,2
-7.764,-2.406,2.874,0.643,-6.971,-0.920,3
-6.466,-2.198,6.981,0.472,-6.462,-0.076,4
-0.949,2.831,8.011,1.771,-4.602,0.695,1
-6.255,0.906,7.562,0.265,-5.593,0.427,2
-6.128,-2.046,5.098,0.516,-6.380,-0.996,3
-5.406,-2.148,8.923,0.242,-5.966,0.219,4
-0.388,3.352,9.579,1.875,-4.503,0.738,1
-5.145,1.021,8.910,0.281,-6.119,0.581,2
-4.032,-2.115,6.047,0.416,-6.016,-1.143,3
-2.764,-2.381,9.284,0.186,-5.769,0.366,4
1.751,3.491,7.645,2.250,-4.571,0.856,1
-2.790,1.122,8.762,0.379,-6.212,0.776,2
-1.476,-1.791,6.294,0.270,-5.778,-0.884,3
-1.188,-1.979,8.583,0.136,-5.479,0.441,4
3.116,4.662,6.756,2.055,-4.011,0.867,1
-0.199,1.154,8.958,0.400,-5.978,0.711,2
0.798,-1.554,6.506,0.061,-5.156,-0.918,3
1.492,-1.881,7.943,0.079,-5.207,0.456,4
4.610,4.834,5.459,1.610,-3.795,0.811,1
2.583,0.873,7.356,0.473,-6.002,0.612,2
3.554,-1.580,5.471,0.403,-4.669,-0.642,3
3.563,-2.359,7.124,0.235,-4.549,0.496,4
5.691,4.472,4.650,1.113,-3.495,0.683,1
4.593,0.748,6.068,0.087,-4.947,0.398,2
4.199,-2.046,5.589,0.321,-3.878,-0.631,3
4.098,-2.795,7.897,0.269,-4.211,0.415,4
6.631,4.378,3.342,0.997,-3.134,0.465,1
5.912,1.166,5.887,-0.079,-3.946,0.171,2
5.365,-1.103,5.088,0.179,-3.474,-0.685,3
5.473,-2.189,6.900,0.210,-3.610,0.309,4
7.185,5.021,3.114,0.892,-2.741,0.397,1
6.979,1.171,5.656,-0.131,-3.160,0.036,2
6.206,-1.152,5.345,0.138,-2.902,-0.587,3
6.133,-2.187,7.721,0.053,-3.001,0.204,4
7.676,5.392,2.818,0.600,-2.152,0.271,1
7.679,1.782,5.965,-0.150,-2.377,0.015,2
7.029,-1.562,5.290,0.264,-2.567,-0.566,3
6.989,-2.249,7.225,-0.079,-3.025,0.141,4
8.027,5.550,2.731,0.521,-1.826,0.261,1
8.211,1.756,5.792,-0.190,-2.013,0.037,2
7.598,-1.081,4.766,0.493,-2.554,-0.536,3
7.689,-2.313,6.290,0.123,-3.025,0.170,4
8.279,5.379,1.969,0.464,-1.627,0.272,1
8.635,1.595,4.903,-0.235,-1.760,0.056,2
8.249,-0.363,3.727,0.509,-2.439,-0.509,3
8.358,-2.310,5.174,0.188,-2.834,0.166,4
8.473,5.039,1.292,0.516,-1.337,0.240,1
8.989,1.350,4.234,-0.218,-1.486,0.041,2
8.742,-0.472,3.114,0.515,-2.100,-0.388,3
8.655,-2.201,4.673,0.223,-2.668,0.179,4
8.331,5.425,1.049,0.438,-1.159,0.145,1
9.033,1.289,4.367,-0.136,-1.430,-0.090,2
9.076,-0.263,2.398,0.655,-2.104,-0.566,3
9.099,-2.398,3.843,0.316,-2.685,0.083,4
8.520,5.294,0.783,0.423,-1.108,0.086,1
9.345,1.760,3.721,-0.064,-1.271,-0.106,2
9.214,1.041,2.324,0.569,-1.734,-0.439,3
9.505,-1.936,2.490,0.278,-2.581,0.038,4
8.684,5.710,0.602,0.519,-1.005,0.098,1
9.565,2.138,3.405,-0.019,-0.962,-0.019,2
9.689,0.290,1.516,0.468,-1.583,-0.332,3
9.708,-1.776,1.323,0.221,-1.991,0.131,4
8.614,5.373,-0.280,0.493,-0.751,0.146,1
9.536,1.584,2.541,-0.005,-0.551,0.065,2
9.662,1.031,0.286,0.468,-1.301,-0.307,3
9.607,-2.509,0.345,0.181,-1.402,0.066,4
8.502,4.828,-0.224,0.404,-0.509,0.047,1
9.476,1.274,2.383,-0.015,-0.221,-0.021,2
9.773,1.012,-0.326,0.267,-0.818,-0.233,3
9.582,-2.470,-0.467,0.115,-0.896,-0.033,4
8.535,5.150,-0.923,0.319,-0.328,-0.034,1
9.546,1.475,2.363,-0.033,-0.011,-0.028,2
9.720,1.191,-0.119,0.092,-0.470,-0.081,3
9.586,-2.206,0.631,0.058,-0.503,-0.029,4
8.623,5.155,-0.479,0.285,-0.185,0.000,1
9.650,1.489,2.772,-0.051,0.065,-0.001,2
9.998,1.022,-0.376,-0.035,-0.214,0.014,3
9.785,-2.558,-0.153,0.012,-0.229,-0.036,4
8.710,5.058,-0.612,0.258,-0.116,0.022,1
9.644,1.203,2.562,-0.071,0.130,0.015,2
9.981,0.378,-0.130,-0.115,-0.004,0.062,3
9.697,-2.468,0.175,0.000,-0.058,-0.044,4
8.680,4.859,-0.783,0.230,0.003,0.001,1
9.607,1.112,2.661,-0.056,0.263,-0.010,2
10.007,0.560,-0.278,-0.081,0.085,-0.003,3
9.742,-2.591,0.377,0.012,0.144,-0.110,4
8.775,4.949,-0.318,0.180,0.126,-0.032,1
9.711,1.359,2.841,-0.087,0.427,-0.014,2
9.998,0.827,0.255,-0.117,0.177,0.028,3
9.881,-2.438,0.874,-0.006,0.077,-0.108,4
8.826,5.276,0.063,0.147,0.037,-0.021,1
9.708,1.271,3.705,-0.121,0.306,0.003,2
10.060,0.818,0.186,-0.185,0.200,0.106,3
9.857,-2.289,0.192,-0.060,0.114,-0.058,4
8.717,5.207,-0.333,0.151,-0.017,0.041,1
9.567,1.199,3.083,-0.156,0.238,0.023,2
9.930,0.177,0.069,-0.183,0.168,0.083,3
9.710,-2.369,0.959,-0.047,0.157,-0.070,4
8.544,4.670,-0.447,0.146,0.093,-0.012,1
9.437,1.092,3.054,-0.092,0.327,-0.084,2
9.918,0.542,0.186,-0.089,0.179,-0.045,3
9.821,-2.298,0.514,0.003,0.132,-0.143,4
8.696,5.380,-0.068,0.149,0.077,-0.067,1
9.572,1.566,3.633,-0.118,0.352,-0.071,2
9.955,0.954,0.601,-0.120,0.209,-0.018,3
9.963,-2.041,1.049,-0.029,0.137,-0.102,4
8.715,5.422,-0.150,0.157,0.078,-0.012,1
9.536,1.577,3.616,-0.112,0.332,-0.056,2
9.874,0.867,0.664,-0.213,0.245,0.091,3
9.845,-2.091,0.917,-0.084,0.151,-0.064,4
8.679,5.247,-0.083,0.158,0.078,0.021,1
9.468,1.335,3.411,-0.122,0.378,-0.015,2
9.914,0.438,0.430,-0.193,0.226,0.039,3
9.805,-2.397,0.795,-0.085,0.219,-0.056,4
8.638,5.019,-0.328,0.135,0.156,-0.014,1
9.340,1.264,3.344,-0.130,0.533,-0.049,2
9.844,0.423,0.497,-0.169,0.293,0.014,3
9.773,-2.406,1.038,-0.032,0.204,-0.119,4
8.672,5.109,0.255,0.120,0.125,-0.057,1
9.301,1.252,4.282,-0.152,0.564,-0.043,2
9.845,0.626,0.861,-0.175,0.296,0.056,3
9.899,-2.045,1.185,-0.037,0.162,-0.091,4
8.689,5.259,0.200,0.137,0.112,-0.015,1
9.260,1.304,4.434,-0.136,0.415,-0.048,2
9.847,0.421,0.997,-0.197,0.270,0.058,3
9.892,-2.212,0.831,-0.058,0.131,-0.087,4
8.641,5.206,-0.260,0.153,0.127,-0.032,1
9.224,1.306,3.773,-0.125,0.418,-0.074,2
9.720,0.432,0.631,-0.223,0.414,0.055,3
9.719,-2.375,1.039,-0.096,0.283,-0.114,4
8.581,4.979,0.142,0.123,0.109,-0.047,1
9.141,1.118,4.130,-0.128,0.458,-0.092,2
9.762,0.291,0.867,-0.263,0.457,0.036,3
9.803,-2.180,0.880,-0.072,0.301,-0.133,4
8.613,5.195,0.001,0.121,0.193,-0.097,1
9.021,1.416,4.446,-0.111,0.568,-0.136,2
9.576,0.385,1.535,-0.228,0.532,0.031,3
9.785,-2.017,1.820,-0.031,0.312,-0.144,4
8.571,5.375,0.427,0.121,0.289,-0.075,1
8.918,1.580,4.970,-0.072,0.474,-0.085,2
9.614,0.371,1.714,-0.152,0.396,0.052,3
9.902,-1.939,1.542,-0.003,0.208,-0.091,4
8.590,5.489,0.591,0.165,0.200,-0.034,1
8.938,1.502,4.907,-0.083,0.416,-0.042,2
