aX,aY,aZ,gX,gY,gZ,sN
4,-8.734,12.476,-10.691,2.005,1.900,2.466
1,-13.890,18.907,-2.595,2.551,1.113,0.330
2,-7.118,19.328,-6.230,0.554,0.086,1.376
3,-7.807,19.122,-8.368,-0.028,-0.439,0.527
4,-6.773,15.742,-10.706,-0.324,-0.800,-0.115
1,-10.047,18.653,-4.050,-0.983,-0.912,0.524
2,-3.478,17.277,-4.026,-1.604,-0.818,-1.322
3,-5.167,14.817,-4.987,-1.529,-1.052,-2.189
4,-4.928,10.475,-5.302,-2.218,-1.763,-1.689
1,-4.921,10.173,-2.531,-2.862,-1.259,0.776
2,-2.350,7.836,-1.481,-2.548,-0.736,-2.155
3,-3.497,4.275,-2.302,-1.821,-0.927,-2.732
4,-3.955,2.251,1.371,-2.018,-1.578,-1.898
1,-2.030,1.611,0.378,-2.349,-1.158,0.132
2,-2.518,1.097,0.891,-1.326,-0.557,-1.736
3,-3.587,-1.628,-0.395,-0.544,-0.470,-1.493
4,-4.486,-1.603,4.495,-0.360,-0.516,-0.725
1,0.370,-2.212,1.718,0.062,-0.266,-0.308
2,-2.307,-1.664,1.682,0.697,0.201,0.136
3,-2.897,-3.644,0.043,0.987,0.667,0.954
4,-3.654,-2.389,4.429,1.508,1.570,0.935
1,-0.006,-1.993,0.678,3.063,1.164,-1.081
2,-1.371,0.709,-0.062,3.022,1.183,2.040
3,-2.297,2.318,-3.588,2.351,1.723,3.264
4,-5.058,4.430,-3.788,2.836,3.187,2.449
1,-7.003,9.861,-4.093,4.525,2.385,-0.826
2,-7.070,15.499,-6.706,2.920,1.499,2.910
3,-9.803,16.828,-10.449,1.685,1.010,3.193
4,-8.806,14.760,-12.665,1.589,1.179,1.911
1,-12.736,13.750,-2.326,2.103,0.166,-0.136
2,-5.770,19.115,-7.181,0.211,-0.257,0.695
3,-7.319,19.247,-8.552,-0.194,-0.689,-0.140
4,-6.820,15.490,-10.964,-0.674,-1.172,-0.456
1,-8.887,17.563,-5.243,-1.266,-1.198,0.529
2,-2.650,16.091,-4.474,-2.116,-0.916,-1.093
3,-4.438,13.555,-5.319,-1.926,-1.306,-1.913
4,-4.244,9.614,-5.091,-2.378,-1.878,-1.366
1,-5.350,9.937,-2.725,-2.852,-1.290,0.946
2,-2.270,8.173,-1.621,-2.816,-0.855,-1.974
3,-3.077,5.411,-2.313,-2.065,-1.164,-2.663
4,-3.120,3.470,0.543,-2.222,-1.746,-1.899
1,-1.811,3.136,-0.251,-2.722,-1.153,0.347
2,-2.051,2.186,0.599,-1.921,-0.498,-1.991
3,-3.099,-0.371,-0.729,-1.134,-0.476,-2.043
4,-4.213,-0.729,3.569,-1.045,-0.705,-1.335
1,-0.607,-1.190,1.997,-1.058,-0.342,-0.296
2,-3.097,-1.085,1.518,-0.167,0.181,-0.795
3,-4.041,-3.140,-0.283,0.347,0.486,-0.210
4,-5.414,-2.081,4.362,0.696,0.880,0.092
1,-0.527,-2.095,1.448,1.823,0.781,-0.874
2,-2.709,-0.664,0.645,2.124,1.027,1.284
3,-3.308,-2.022,-1.265,1.969,1.402,2.369
4,-4.111,-0.429,1.316,2.389,2.864,1.990
1,-3.267,2.659,-3.237,4.646,1.873,-1.364
2,-1.955,8.523,-4.689,3.581,1.634,3.022
3,-5.959,12.167,-8.292,2.390,1.814,3.947
